Disease,Description,Precaution
fever,"A temporary increase in body temperature, often due to an infection.","Drink plenty of fluids, rest in a cool environment, and take paracetamol. Seek medical attention if temperature exceeds 39°C or persists for more than 3 days."
headache,"Pain in any region of the head, caused by stress, tension, or dehydration.","Rest in a dark, quiet room, stay hydrated, and use over-the-counter pain relievers if needed."
cough,A reflex action to clear the airways of mucus or irritants.,"Avoid cold air, drink warm fluids, use cough syrups, and avoid smoking."
Fatigue,"A feeling of constant tiredness or weakness, often due to stress or lack of sleep.","Get enough sleep, manage stress, maintain a healthy diet, and exercise regularly."
Cold,"A common viral infection with sneezing, sore throat, and a runny nose.","Rest, drink warm fluids, use nasal sprays, and take over-the-counter cold remedies."
Sore Throat,Pain or irritation in the throat that worsens when swallowing.,"Gargle with salt water, drink warm liquids, avoid irritants, and use lozenges."
Indigestion,Discomfort in the upper abdomen usually after eating.,"Eat slowly, avoid spicy foods, reduce stress, and consider antacids."
Nausea,"The urge to vomit, often a symptom of other conditions.","Eat bland foods, avoid strong smells, rest, and stay hydrated."
Vomiting,Forceful expulsion of stomach contents through the mouth.,"Avoid solid foods temporarily, sip fluids, rest, and consult a doctor if persistent."
Diarrhea,Frequent loose or watery bowel movements.,"Drink electrolyte-rich fluids, avoid dairy and fatty foods, and take probiotics."
Back Pain,"Pain in the back, often due to poor posture, lifting, or muscle strain.","Use proper posture, apply heat or cold packs, and stretch or rest as needed."
Stomach Ache,Discomfort or pain in the abdominal area.,"Avoid spicy foods, drink warm water, rest, and monitor diet."
Dizziness,A sensation of spinning or losing balance.,"Sit or lie down immediately, drink water, and avoid sudden movements."
Muscle Cramps,"Sudden, involuntary contraction of muscles.","Stretch the affected muscle, massage, hydrate, and ensure adequate mineral intake."
Chest Pain,Pain or discomfort in the chest area.,"Avoid exertion, rest, and seek medical help immediately if it feels severe or tight."
Shortness of Breath,Difficulty or discomfort while breathing.,"Rest, use prescribed inhalers if asthmatic, and avoid allergens."
Allergy,"An immune response to substances like pollen, dust, or food.","Avoid allergens, take antihistamines, and keep the environment clean."
Itchy Skin,An uncomfortable sensation causing the desire to scratch.,"Use moisturizing lotion, avoid irritants, and take antihistamines if needed."
Rash,An area of irritated or swollen skin.,"Apply soothing lotion, avoid hot showers, and wear breathable fabrics."
Constipation,Infrequent or difficult bowel movements.,"Eat fiber-rich foods, drink water, and exercise regularly."
Acne,Pimples on the skin caused by blocked hair follicles.,"Cleanse skin gently, avoid heavy creams, and keep hands off the face."
Earache,Pain in or around the ear.,"Use warm compress, avoid loud noises, and consult a doctor if persistent."
Eye Redness,Red or bloodshot eyes due to irritation or infection.,"Avoid touching eyes, use clean water or saline, and avoid screen strain."
Dry Mouth,Lack of saliva causing dryness in the mouth.,"Drink water regularly, chew sugar-free gum, and avoid caffeine."
Insomnia,Difficulty falling or staying asleep.,"Maintain a sleep routine, avoid caffeine late in the day, and reduce screen time before bed."
Blurred Vision,Loss of sharpness in eyesight.,"Rest your eyes, wear prescribed glasses, and avoid long screen exposure."
Joint Pain,"Discomfort in joints, commonly due to arthritis or strain.","Use hot/cold therapy, perform light stretches, and maintain a healthy weight."
Heartburn,A burning sensation in the chest caused by acid reflux.,"Avoid spicy foods, eat smaller meals, and avoid lying down after eating."
Runny Nose,Excess mucus drainage from the nose.,"Use tissues gently, stay hydrated, and consider antihistamines if allergic."
Shivering,Involuntary trembling often due to cold or fever.,"Stay warm, drink warm fluids, and monitor body temperature."
Hiccups,Involuntary contractions of the diaphragm causing sudden sounds.,"Hold your breath, drink water slowly, or try a spoonful of sugar."
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Consult nearest hospital
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",apply calamine
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",reduce stress
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",wash hands with warm soapy water
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",avoid fatty spicy food
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths
hepatitis A,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Consult nearest hospital
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",acetaminophen
(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,lie down
Hypoglycemia, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,lie down on side
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",bath twice
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",have balanced diet
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",soak affected area in warm water
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",meditation
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food
Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",avoid fatty spicy food
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",drink vitamin c rich drinks
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",use neem in bathing 
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",use heating pad or cold pack
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",eat healthy
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",drink plenty of water
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",lie down flat and raise the leg high
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",massage
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",eat high calorie vegitables
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",consult nearest hospital
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",bath twice
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",Consult nearest hospital
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",meditation
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",switch to loose cloothing
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",stop alcohol consumption
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",drink plenty of water
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,stop alcohol consumption
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",drink papaya leaf juice
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",consult doctor
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",call ambulance
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",consult doctor
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",exercise
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",stop eating solid food for while
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",cover mouth
